"fid";"name";"härad";"kommun";"län";"alternative_names";"comments";"type_swedish";"border_changes";"floraprovins";"type_english";"origin";"VUnique";"North";"NorthWGS84";"north_maxWGS84";"north_minWGS84";"east_minWGS84";"east_maxWGS84";"East";"eastWGS84";"eastRT90";"northRT90";"east_minCircle";"north_minCircle";"distCentroid";"distMinCircle";"EastMiniCircle";"NorthMinCircle"
"588";"Edsbro";"Närdinghundra";"Norrtälje";"Stockholms län";"";"";"socken";"";"Uppland";"parish";"medeltida";"Edsbro--Uppland";"6644513";"59.8928874061238";"59.9624142016385";"59.7993951535674";"18.3631301061027";"18.5679205555268";"693107";"18.4519796490343";"1648145";"6644463";"692738";"6643161";"10417";"9083";"18.4655253308147";"59.8870720362117"
"589";"Skärkind";"Skärkind";"Norrköping";"Östergötlands län";"";"";"socken";"1952 - Skärkinds landskommun uppgick i Norsholms landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Skärkind--Östergötland";"6481643";"58.4715077053276";"58.5122888363746";"58.4156536317725";"15.8973901295849";"16.0898638641908";"558564";"16.0040344475111";"1511604";"6483185";"557909";"6481309";"6764";"6523";"15.9935951236233";"58.4847217019973"
"590";"Edebo";"Frösåker";"Norrtälje";"Stockholms län";"Edbo";"";"socken";"";"Uppland";"parish";"medeltida";"Edebo--Uppland";"6662280";"60.0506993213736";"60.1633616955734";"59.9581826075642";"18.388518030469";"18.6088055965015";"696190";"18.5238442505928";"1651445";"6662195";"698557";"6663582";"13139";"11477";"18.5160873388097";"60.0599801395476"
"591";"Ed";"Sollentuna";"Upplands-Väsby";"Stockholms län";"";"Stäket ligger i Järfälla kommun";"socken";"1872 - Vällsta 1 och några underlydande topr flyttades i alla avsenden från Sollentuna socken till Eds socken genom kungligt brev 30/8 1872 (Lagerstedt, 1973)";"Uppland";"parish";"medeltida";"Ed--Uppland";"6600907";"59.5155343019145";"59.5755571920479";"59.4634121302711";"17.7919129955011";"17.9225873160353";"661073";"17.8468275668024";"1615576";"6601240";"659552";"6601209";"7052";"6364";"17.8483913992912";"59.5128893357959"
"592";"Skänninge";"";"Mjölby";"Östergötlands län";"Skeninge, Skenninge";"";"stad";"1952 - Allhelgona landskommun, Bjälbo landskommun och Järstads landskommun uppgick i Skänninge stad (Wikipedia).";"Östergötland";"town/borough";"medeltida";"Skänninge--Östergötland";"6471976";"58.3885845847948";"58.4111759679856";"58.3663249325724";"15.0297237533425";"15.1228324165871";"504488";"15.0767582534061";"1457394";"6474163";"504867";"6471728";"3578";"3130";"15.0762780849648";"58.3767264392415"
"593";"Skeglinge";"Frosta";"Eslöv";"Skåne län";"";"";"socken";"1952 - Skeglinge landskommun uppgick i Skarhults landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Skeglinge--Skåne";"6183555";"55.7862231682985";"55.7967858021164";"55.775390516404";"13.292927872355";"13.3559314958739";"395038";"13.326182454015";"1344488";"6186913";"394879";"6183891";"2328";"2044";"13.3243247743916";"55.7918195293104"
"594";"Skällvik";"Hammarkind";"Söderköping";"Östergötlands län";"";"";"socken";"";"Östergötland";"parish";"medeltida
Skällvik
Sankt Anna socken bröts ut 1521 (Wikipedia)";"Skällvik--Östergötland";"6473936";"58.3958805003962";"58.4441143677075";"58.3395126115001";"16.5316505175578";"16.7343392931763";"595113";"16.6271866437363";"1548070";"6475037";"595053";"6473845";"6555";"6488";"16.632994905367";"58.3859520051355"
"595";"Djurö";"Värmdö skeppslag";"Värmdö";"Stockholms län";"";"";"socken";"1925 - Hemmanen på Vindö med närliggande holmar flyttades i alla avsenden från Värmdö socken till Djurö socken genom ett kungligt brev 27/3 1925 (Lagerstedt, 1973)";"Uppland";"parish";"Djurö församling bildades 1683 genom en utbrytning ur Värmdö församling (Wikipedia).";"Djurö--Uppland";"6579002";"59.2918777826206";"59.3902311701233";"59.1931955193935";"18.622277589076";"19.2032630199103";"721083";"18.8824507661937";"1675329";"6578604";"722350";"6583434";"18384";"17064";"18.9127703044931";"59.3368088440539"
"597";"Skeppsås";"Boberg";"Mjölby";"Östergötlands län";"";"";"socken";"1952 - Skeppsås landskommun uppgick i Bobergs landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Skeppsås--Östergötland";"6478757";"58.4493173465751";"58.473334799954";"58.4253900098367";"15.1521418374412";"15.2658942256054";"512793";"15.2191859189124";"1465784";"6480847";"512067";"6479711";"4739";"3622";"15.2090180315233";"58.4606591423095"
"599";"Skanör med Falsterbo";"";"Vellinge";"Skåne län";"Skanör, Falsterbo, Scanör, Skanör m. Falsterbo";"";"stad";"";"Skåne";"town/borough";"Städerna Skanör och Falsterbo förenades 1754 till en politisk enhet under gemensam borgmästare (Wikipedia).";"Skanör med Falsterbo--Skåne";"6141655";"55.4024350010873";"55.4497628697142";"55.3575358452917";"12.7940755444629";"12.9214810388925";"364614";"12.861946100067";"1313561";"6145344";"363730";"6141819";"6593";"6164";"12.8550914698544";"55.3953150333415"
"600";"Skedevi";"Finspånga län";"Finspång";"Östergötlands län";"Schedevid";"";"socken";"1952 - Skedevi landskommun uppgick i Hävla landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Skedevi--Östergötland";"6528214";"58.8902530259916";"59.0187549213574";"58.7723266156437";"15.7387143146563";"16.1823138899541";"554600";"15.9471669670722";"1508198";"6529818";"554711";"6528828";"16203";"15723";"15.9617959023161";"58.9024613309206"
"601";"Skabersjö";"Bara";"Svedala";"Skåne län";"Scabersjö";"";"socken";"1952 - Skabersjö landskommun uppgick i Bara landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Skabersjö--Skåne";"6157148";"55.5467498133618";"55.5811548814524";"55.5095630627369";"13.1146049356896";"13.2551452168271";"384880";"13.1753615290454";"1334018";"6160610";"385458";"6157297";"5043";"4484";"13.1848750762584";"55.549552279013"
"602";"Sjörup";"Ljunit";"Ystad";"Skåne län";"";"";"socken";"1952 -  Sjörups landskommun uppgick i Ljunits landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Sjörup--Skåne";"6146527";"55.457483941481";"55.4887822657308";"55.4239828313836";"13.6194605931014";"13.6802509068647";"414741";"13.6517441061314";"1363770";"6149638";"415287";"6146395";"3794";"3729";"13.6516716369116";"55.4604501555886"
"603";"Sireköpinge";"Rönneberg";"Svalöv";"Skåne län";"";"";"socken";"1952 - Sireköpinge landskommun uppgick i Rönneberga landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Sireköpinge--Skåne";"6199891";"55.9280379476289";"55.9586915197315";"55.8962000105078";"12.9505813529498";"13.0346538843906";"374560";"12.9922796813488";"1324190";"6203496";"375134";"6199932";"4015";"3750";"12.9944842973141";"55.9255351671647"
"604";"Simlinge";"Vemmenhög";"Trelleborg";"Skåne län";"";"";"socken";"1952 - Simlinge landskommun uppgick i Klagstorps landskommun (Wikipedia)
1955 - Simlinge socken överfördes till Gislövs landskommun  (Wikipedia)
1967 - Gislövs landskommun uppgick 1967 i Trelleborgs stad (Wikipedia)";"Skåne";"parish";"medeltida";"Simlinge--Skåne";"6138972";"55.3849212413043";"55.4126532556706";"55.3504424674015";"13.2688648663775";"13.2948445240129";"391034";"13.2799753724945";"1339964";"6142354";"390793";"6138603";"3844";"3463";"13.2793629591667";"55.3816196002864"
"605";"Silvåkra";"Torna";"Lund";"Skåne län";"Silfåkra";"";"socken";"1952 - Silvåkra landskommun uppgick i Veberöds landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Silvåkra--Skåne";"6172000";"55.6844848218714";"55.7149987274773";"55.6507400285107";"13.431281516857";"13.5321225052821";"404953";"13.488249483415";"1354273";"6175237";"404868";"6171811";"3916";"3776";"13.4818007474199";"55.6913094907357"
"606";"Saxtorp";"Harjager";"Landskrona";"Skåne län";"";"Här följs gränsen från 1952 för den gammla är så strulig.";"socken";"1952 - överfördes den del av Södra Möinge by som låg i Saxtorps socken, omfattande 3,26 km² till Billeberga socken (Wikipedia).
1952 - Saxtorps landskommun uppgick i Dösjebro landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Saxtorp--Skåne";"6190479";"55.8425481711524";"55.8617725055379";"55.8230541333322";"12.8859925212294";"12.9848204406156";"370867";"12.9377091079052";"1320386";"6194122";"370623";"6190140";"3337";"3217";"12.9354064809225";"55.8441777600486"
"612";"Dalarö";"Sotholm";"Haninge";"Stockholms län";"";"";"socken";"";"Södermanland";"parish";"Dalarö socken bildades omkring 1650 genom en utbrytning ur Tyresö socken (Wikipedia).";"Dalarö--Södermanland";"6563988";"59.1685071780059";"59.2195782586652";"59.1096440895489";"18.3336444095739";"18.5862088529699";"698580";"18.4744505204048";"1652642";"6563861";"698107";"6563542";"8224";"7591";"18.4599266312719";"59.175897722065"
"613";"Skeda";"Hanekind";"Linköping";"Östergötlands län";"";"";"socken";"1952 - Skeda landskommun uppgick i Vårdnäs landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Skeda--Östergötland";"6462975";"58.3064284940228";"58.360412164299";"58.2325073637719";"15.5006771131771";"15.6678663654757";"534409";"15.5871467143928";"1487217";"6464800";"532915";"6461854";"8289";"7138";"15.5843660141789";"58.3014287597313"
"614";"Bro";"Bro";"Upplands-Bro";"Stockholms län";"";"Kalmarsand ligger i Håbo kommun, Uppsala län.";"socken";"1885 - Torpet Sätra, som hörde till Bro kyrksocken, flyttades i jordeboken från Tibble socken till Bro socken genom kungligt brev 19/6 1885 (Lagerstedt, 1973)";"Uppland";"parish";"medeltida";"Bro--Uppland";"6600993";"59.5207081334079";"59.5592792516802";"59.4684562292077";"17.5452292042276";"17.7104793813069";"649169";"17.6367449051739";"1603671";"6601471";"648095";"6600447";"6093";"5607";"17.6278477225012";"59.5216030643392"
"615";"Sjögestad";"Valkebo";"Linköping";"Östergötlands län";"";"";"socken";"1952 - Sjögestads landskommun uppgick i Norra Valkebo landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Sjögestad--Östergötland";"6469341";"58.3643891973804";"58.392662769682";"58.3311646380441";"15.331062617985";"15.4208564105244";"522030";"15.376538393055";"1474911";"6471317";"522398";"6469042";"4052";"3591";"15.3775918157765";"58.3557098821842"
"616";"Botkyrka";"Svartlösa";"Botkyrka";"Stockholms län";"";"";"socken";"";"Södermanland";"parish";"medeltida";"Botkyrka--Södermanland";"6566859";"59.2092761925749";"59.2685260166373";"59.142498241027";"17.7312248590511";"17.984812482115";"663362";"17.8613094681089";"1617453";"6567158";"663251";"6567221";"9794";"9479";"17.858018670583";"59.211462187508"
"617";"Simonstorp";"Bråbo";"Norrköping";"Östergötlands län";"Simontorp";"";"socken";"1942 - Delar av Porten och Västeråsen överfördes från Simonstorps socken till Stora Malms socken i Södermanlands län (Wikipedia).
1942 - Gränsen mellan Stora Malms socken i Södermanland slän och Simonstops socken i Östergötlands län fastställdes genom kungligt brev 19/20 1942, varvid en areal om 0,75 km^2 i alla avsenden flyttades frå Simonstorp till Stora Malm (Lagerstedt, 1973)
1952 - Simonstorps landskommun uppgick i Kvillinge landskommun (Wikipedia)";"Östergötland";"parish";"Simonstorps socken bildades 1655 genom en utbrytning ur Kvillinge socken (Wikipedia).";"Simonstorp--Östergötland";"6515289";"58.7723158408905";"58.8538707802347";"58.6993055618039";"16.0139989675292";"16.3102785861723";"567611";"16.1691979175129";"1521058";"6516731";"566288";"6514796";"11131";"9855";"16.1621387768508";"58.7526281955405"
"618";"Boo";"Värmdö skeppslag";"Nacka";"Stockholms län";"Bo";"Boo församling bildades 1635 genom en utbrytning ur Värmdö församling.";"socken";"1889 - Boo socken infördes i jordeboken som en separat jordebokssocken (Wikipedia).";"Uppland";"parish";"Boo församling bildades 1635 genom en utbrytning ur Värmdö församling. Egen jordebokssocken från 1889 (Wikipedia).";"Boo--Uppland";"6581823";"59.3337521519877";"59.3692299761119";"59.2978009293523";"18.2123206684448";"18.3737532896679";"686806";"18.2842104020224";"1641082";"6581841";"687041";"6581358";"5167";"4985";"18.293035247477";"59.3375999296126"
"619";"Blidö";"Frötuna och Länna skeppslag";"Norrtälje";"Stockholms län";"";"";"socken";"";"Uppland";"parish";"Blidö socken bildades före 1650 genom en utbrytning ur Länna socken (Wikipedia).";"Blidö--Uppland";"6609188";"59.5518281559794";"59.6940103671904";"59.3715046661344";"18.7260094209202";"19.6514589296856";"740071";"19.2482907097995";"1694685";"6608563";"736904";"6610786";"29745";"26534";"19.1887341753029";"59.602710331003"
"620";"Björkö-Arholma";"Bro och Vätö skeppslag";"Norrtälje";"Stockholms län";"";"";"socken";"1913 - Björka-Arholma socken blev annex till Vätö genom kunlgigt brev 11/7 1913 (Lagerstedt, 1973)
1914 - Björkö-Arholma församling bildades 1914 genom en utbrytning ur Vätö församling (Wikipedia).
1916 - Björkö-Arholma blev jordeboksocken och kommun genom kungligt brev 30/12 1916 (Lagerstedt, 1973)";"Uppland";"parish";"Björkö-Arholma församling bildades 1914 genom en utbrytning ur Vätö församling (Wikipedia).";"Björkö-Arholma--Uppland";"6641366";"59.8466025750006";"59.9104442792248";"59.7860430766321";"18.947989094995";"19.1925380058091";"728510";"19.0795884279298";"1683514";"6640884";"727883";"6640866";"8387";"8061";"19.0677902991413";"59.8424093922643"
"621";"Sankt Anna";"Hammarkind";"Söderköping";"Östergötlands län";"St. Anna, S:t Anna, Sankt Annae";"";"socken";"1893 - Lilla Näset 1 flyttades i kyrkligt och kommunlat avsende från Börrum och i jordeboken från Mogata till Sankt Anna genom kungligt brev 27/10 1893 (Lagerstedt, 1973)
1919 - Blev jordebokssocken genom kammarkolegiets brev 24/4 1919 (Lagerstedtm, 1973)
1952 -  Sankt Anna landskommun uppgick i Stegeborgs landskommun (Wikipedia)";"Östergötland";"parish";"Sankt Anna socken bildades 1521 genom en utbrytning ur Skällviks socken (Wikipedia).";"Sankt Anna--Östergötland";"6470981";"58.3655701273472";"58.4676471310672";"58.2572446038371";"16.6515467332617";"17.1333583321447";"611193";"16.9007922971483";"1564118";"6471889";"611499";"6469604";"15857";"15112";"16.8924525327032";"58.3303846681117"
"622";"Rönö";"Björkekind";"Norrköping";"Östergötlands län";"";"";"socken";"1921 - Rönö blev annex till Östra Ny genom kungligt brev 31/12 1921 (Lagerstedt, 1973)
1952 - Rönö landskommun upptick i Östra Vikbolandets landskommun (Wikipedia)";"Östergötland";"parish";"Rönö socken bildades före 1593 genom utbrytning ur Östra Ny socken (Wikipedia).";"Rönö--Östergötland";"6480081";"58.4495043056861";"58.4878005499394";"58.4136658568931";"16.6255339270397";"16.8711542286605";"601926";"16.7464263531939";"1554958";"6481102";"602009";"6481125";"7554";"7234";"16.7483440778501";"58.4588020162347"
"623";"Angarn";"Vallentuna";"Vallentuna";"Stockholms län";"";"";"socken";"";"Uppland";"parish";"medeltida";"Angarn--Uppland";"6602882";"59.525884765106";"59.5530659972221";"59.4995801883651";"18.1224871977013";"18.2117845199326";"679165";"18.1677159767015";"1633695";"6602995";"679416";"6602871";"3163";"3055";"18.1671358588169";"59.5236248959774"
"624";"Sankt Ibb";"Rönneberg";"Landskrona";"Skåne län";"Ven, Hven, Hwen";"";"socken";"1959 -  Sankt Ibbs landskommun uppgick i Landskrona stad (Wikipedia)";"Skåne";"parish";"medeltida";"Sankt Ibb--Skåne";"6198223";"55.9078788583774";"55.9241546494469";"55.887738002831";"12.6609024155246";"12.7287566690364";"356055";"12.6972421932837";"1305656";"6202043";"355880";"6198279";"2669";"2500";"12.6942472948819";"55.9113607014001"
"625";"Rök";"Lysing";"Ödeshög";"Östergötlands län";"Röök";"";"socken";"1952 - Röks landskommun upptick i Alvastra landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Rök--Östergötland";"6457033";"58.2542849703737";"58.3315929826638";"58.1852463208406";"14.7121204987718";"14.8900032148584";"489475";"14.8206264622029";"1442196";"6459395";"487769";"6457503";"10644";"9331";"14.7914140477886";"58.2584196517522"
"626";"Adelsö";"Färentuna";"Ekerö";"Stockholms län";"";"";"socken";"";"Uppland";"parish";"medeltida";"Adelsö--Uppland";"6582966";"59.3614591912977";"59.4465316084488";"59.2918326979561";"17.4109226650418";"17.599233530831";"642115";"17.5001804616381";"1596397";"6583526";"643219";"6584081";"9850";"9235";"17.5166344015609";"59.369926439206"
"627";"Röstånga";"Onsjö";"Svalöv";"Skåne län";"";"";"socken";"";"Skåne";"parish";"medeltida";"Röstånga--Skåne";"6207812";"56.0036994552302";"56.0299481395455";"55.9717006302667";"13.2378221433064";"13.3401995381384";"393287";"13.288716710218";"1343019";"6211203";"393160";"6207783";"3628";"3557";"13.2890155625527";"56.0134849116243"
"628";"Rystad";"Åkerbo";"Linköping";"Östergötlands län";"Näsby";"Näsby socken räknas här som en del av Rystad socken.
";"socken";"1887 - Rickelösta 2 hörde enligt jordeboken till Rystad. Sockendelen flyttades till Rystad genom kungligt brev 30/9 1887 (Lagersetdt, 1973)
1952 - Rystads landskommun uppgick i Åkerbo landskommun (Wikipedia)";"Östergötland";"parish";"medeltida
Näsby socken uppgick i Rystad socken, 1784 i kyrkligt hänseende, 1889 i civilt (Wikipedia).";"Rystad--Östergötland";"6480813";"58.4662327972919";"58.51568421638";"58.4200262324944";"15.5833336548928";"15.7675344253191";"539092";"15.6700677496155";"1492116";"6482588";"539755";"6480830";"6735";"6201";"15.6754340401059";"58.4622639303974"
"629";"Rogslösa";"Dal";"Vadstena";"Östergötlands län";"Roxlösa";"";"socken";"1886 - Åsby 1 3/5 flyttades i alla avsenden frå Källstad till Roglösa genom kungligt brev 6/5 1886 (Lagerstedt, 1973)
1952 - Rogslösa landskommun uppgick i Östgöta-Dals landskommun (Wikipedia)
1967 - Östgöta-Dals landskommun uppgick i Vadstena stad (Wikipedia)";"Östergötland";"parish";"medeltida";"Rogslösa--Östergötland";"6471612";"58.3850596667739";"58.4211701116155";"58.3406136778958";"14.6607280175797";"14.7841879540651";"484287";"14.7312817604871";"1437181";"6474041";"484885";"6471293";"5208";"4744";"14.7229979153737";"58.3891241697724"
"630";"Röddinge";"Fär";"Sjöbo";"Skåne län";"";"";"socken";"1952 - Röddinge landskommun uppgick i Östra Färs landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Röddinge--Skåne";"6160595";"55.5856056616421";"55.6091805571084";"55.5612853579045";"13.758787581413";"13.8747550316036";"425459";"13.8174153996049";"1374657";"6163588";"425427";"6160801";"3698";"3677";"13.8167713065083";"55.5879505662178"
"631";"Räng";"Skytt";"Vellinge";"Skåne län";"Reng";"";"socken";"";"Skåne";"parish";"medeltida
1632 införlivades Kämpinge socken (Wikipedia).";"Räng--Skåne";"6141120";"55.3996146496821";"55.4290006036924";"55.3635774609493";"12.9094273935561";"13.0462744129114";"372012";"12.9789225779636";"1320957";"6144724";"372092";"6141420";"5020";"4793";"12.9778509032337";"55.4099853202812"
"632";"Risekatslösa";"Luggude";"Bjuv";"Skåne län";"";"";"socken";"1952 -  Risekatslösa landskommun uppgick i Billesholms landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Risekatslösa--Skåne";"6212467";"56.0403613332449";"56.060585043209";"56.0184890792811";"12.9020417912093";"12.996325955941";"372281";"12.9498675773527";"1322057";"6216106";"372274";"6212964";"3076";"2960";"12.9491838735752";"56.0465754253532"
"633";"Revinge";"Torna";"Lund";"Skåne län";"Refvinge";"";"socken";"1952 -  Revinge landskommun uppgick i Södra Sandby landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Revinge--Skåne";"6175576";"55.7162182275126";"55.7401501666594";"55.7008060954256";"13.4061194455235";"13.5084656553759";"403037";"13.456527948863";"1352399";"6178836";"403188";"6176307";"4006";"3675";"13.4575645467665";"55.721249712568"
"634";"Reslöv";"Onsjö";"Eslöv";"Skåne län";"Reslöf";"";"socken";"1952 - Reslövs landskommun uppgick i Marieholms landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Reslöv--Skåne";"6192533";"55.8646735236764";"55.9005575003095";"55.8289342803696";"13.1267889298395";"13.2197443265072";"385423";"13.169151558884";"1334973";"6196008";"384866";"6192542";"4190";"4038";"13.1734789751714";"55.870195730758"
"635";"Remmarlöv";"Harjager";"Eslöv";"Skåne län";"Remmarlöf";"";"socken";"1952 - Remmarlövs landskommun uppgick i Harrie landskommun (Wikipedia)
1969 - Den delen av Harrie landskommun uppgick i Eslövs stad (Wikipedia)";"Skåne";"parish";"medeltida";"Remmarlöv--Skåne";"6189531";"55.8386733112612";"55.853065485628";"55.8253872000876";"13.209548366387";"13.2641788408454";"389555";"13.2363763227461";"1339072";"6192956";"389542";"6189289";"2075";"1937";"13.2363516001359";"55.8364116243471"
"636";"Oxie";"Oxie";"Malmö";"Skåne län";"";"";"socken";"1967 - Oxie landskommun uppgick i Malmö stad (Wikipedia)";"Skåne";"parish";"medeltida";"Oxie--Skåne";"6157489";"55.5485655907727";"55.5642503964382";"55.5320919636642";"13.0574943484786";"13.1351991484527";"379694";"13.0930570382123";"1328833";"6161012";"379904";"6157573";"2782";"2613";"13.0963467484656";"55.5493641074315"
"637";"Risinge";"Finspånga län";"Finspång";"Östergötlands län";"Finspång, Finspong";"Här räknas Finspånga köping som en del av Risinge socken.


";"socken";"1887 - Gåsetorp 1/8 flyttades i alla avsenden från Risinge itill Östra Eneby, där det låg en enklav. genom kungligt brev 4/7 1887 (Lagerstedt, 1973)
1942 - Risinge socken ombildades till Finspångs köping (Wikipedia).
1942 - Risinge utgör sedan 1942 i kommunalt avsende Finspångs köping genom kungligt brev 14/11 1941 (Lagerstedt, 1973) 
1950 - Genom kungligt brev 3/11 1950 flyttade i alla avsenden fastighetern Humletorp om 5,62 km^2 från Finspångs köping och Risinge församling till Hällestads kommun och församling (Lagerstedt, 1973)";"Östergötland";"parish";"medeltida";"Risinge--Östergötland";"6510348";"58.7304532721977";"58.8518557085487";"58.6157530108598";"15.6716221465055";"16.0754017730004";"549452";"15.8541048106472";"1502834";"6512008";"549130";"6510168";"14078";"13996";"15.8692154038068";"58.7422360968102"
"638";"Rinna";"Göstring";"Boxholm";"Östergötlands län";"";"";"socken";"1888 - Ett trettiotal ängar och utjordar flyttades från Ekeby till Rinna genom kungligt brev 23/11 1888 (Lagerstedt, 1973)
1905 - överfördes vissa hemman till Trehörna socken (Wikipedia)
1952 - Rinna landskommun uppgick i Folkunga landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Rinna--Östergötland";"6454278";"58.2296700126171";"58.3073199838536";"58.1342759311197";"14.8642998457778";"15.0290640631758";"495959";"14.931240287886";"1448650";"6456560";"497511";"6453487";"10619";"10060";"14.9577693383175";"58.2225217601678"
"639";"Ringarum";"Hammarkind";"Valdemarsvik";"Östergötlands län";"Valdemarsvik";"Valdemarsviks köping, som sedan 1647 varit en köping (först som lydköping och senare som friköping inom Ringarums socken) (Wikipedia).
Här räkna Valdemarsviks köping som en del av Ringarums socken.
Grännäs ligger i Småland";"socken";"1904 - Valdemarsviks köping bildades genom kungligt brev 3/6 1904  (Lagerstedt, 1973)
1912 - områden överfördes från Ringarum genom kungligt brev 20/12 1912 och 24/3 1927  (Lagerstedt, 1973)
1919 - områden överfördes från Tryserums socken kalmar län, genom kungligt brev 31/12 1919. (Lagerstedt, 1973)
1927 - områden överfördes från från Ringarum genom kungligt brev 20/12 1912 och 24/3 1927  (Lagerstedt, 1973)";"Östergötland";"parish";"medeltida";"Ringarum--Östergötland";"6461762";"58.2883813174453";"58.3950383833977";"58.1770500514925";"16.2507227340035";"16.6858036299253";"586497";"16.4751082619601";"1539306";"6462963";"585009";"6461777";"17395";"16300";"16.4710068553012";"58.3173821102856"
"640";"Regna";"Finspånga län";"Finspång";"Östergötlands län";"";"En mindre del av socknen innefattande Ängfallet, Mörtsjö, Malma och Skrämman ligger i Närke";"socken";"1877 - Jordebokstillhörigheten av ett område (Regna skate) överfördes till Regna socken från Bo socken i Sköllersta härad, Örebro län som redan tidigare hört till kyrkosocknen Regna, och där länstillhörigheten ändrades först 1 januari 1878. Regna (eller Svennevads) skate bestod av gårdarna Tyrisfall, Anderstorp, Djurslanda, Mörtsjö, Malma och Botten (Wikipedia).
1952 - Regna landskommun uppgick i Hävla landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Regna--Östergötland";"6528498";"58.8944343013887";"58.9895707393519";"58.8083811104845";"15.5530923624485";"15.8613833048758";"539801";"15.690598447414";"1493399";"6530280";"540176";"6528417";"11081";"10770";"15.7080128074723";"58.9038698293146"
"641";"Rappestad";"Valkebo";"Linköping";"Östergötlands län";"";"";"socken";"1952 - Rappestads landskommun uppgick i Norra Valkebo landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Rappestad--Östergötland";"6474124";"58.4072243817233";"58.4376047647445";"58.3826702646619";"15.3615680765259";"15.4753775164524";"524309";"15.4159967280369";"1477248";"6476074";"524365";"6474056";"3502";"3457";"15.4184727964892";"58.4066348158437"
"642";"Orlunda";"Aska";"Vadstena";"Östergötlands län";"";"";"socken";"1952 - Orlunda landskommun uppgick i Aska landskommun (Wikipedia)";"Östergötland";"parish";"medeltida";"Orlunda--Östergötland";"6474778";"58.4137677131658";"58.4361807366528";"58.390199245833";"14.9204520803183";"15.0063648490953";"498043";"14.9665038913001";"1450980";"6477043";"497900";"6474622";"2820";"2749";"14.9639088457842";"58.4122134302971"
"643";"Oppeby";"Kinda";"Kinda";"Östergötlands län";"";"";"socken";"1952 - Oppeby landskommun uppgick i Norra Kinda landskommun (Wikipedida)";"Östergötland";"parish";"medeltida";"Oppeby--Östergötland";"6430854";"58.0161217874633";"58.07353898966";"57.9612366790697";"15.7266832512179";"16.0926340116653";"552714";"15.8921966878624";"1505144";"6432451";"553769";"6429609";"12572";"11205";"15.9096586314416";"58.0046901742431"
"644";"Nässja";"Dal";"Vadstena";"Östergötlands län";"";"";"socken";"1952 - Nässja landskommun uppgick i Östgöta-Dals landskommun (Wikipedia)
1967 - Östgöta-Dals landskommun uppgick i Vadstena stad (Wikipedia)";"Östergötland";"parish";"medeltida";"Nässja--Östergötland";"6482214";"58.4803661858583";"58.5180408560099";"58.4455916457027";"14.6564331852246";"14.8836875177304";"487605";"14.7874364869702";"1440628";"6484607";"486552";"6482587";"7769";"6667";"14.7700603514775";"58.4888502194994"
"645";"Ottarp";"Luggude";"Helsingborg";"Skåne län";"";"";"socken";"1952 - Ottarps landskommun uppgick i Vallåkra landskommun (Wikipedia)";"Skåne";"parish";"medeltida";"Ottarp--Skåne";"6203556";"55.9599631426921";"55.9945227684843";"55.9170426032119";"12.8766893641641";"12.9892699713042";"370836";"12.9309649212774";"1320507";"6207206";"370820";"6203174";"4777";"4396";"12.9329796677342";"55.969281397518"
"646";"Odarslöv";"Torna";"Lund";"Skåne län";"Västra Odarslöv, Odarslöf, Västra Odarslöf";"";"socken";"1952 -  Igelösa och Västra Odarslövs landskommun uppgick i Torns landskommun (Wikipedia)
1967 - Torns landskommun uppgick i Lunds stad (Wikipedia)";"Skåne";"parish";"medeltida";"Odarslöv--Skåne";"6179196";"55.7461386408871";"55.7790746677689";"55.721022408776";"13.2160058581026";"13.302473599282";"390800";"13.2603848021659";"1340198";"6182601";"391282";"6179551";"3678";"3412";"13.2592397286923";"55.7499567645341"
"647";"Nykil";"Valkebo";"Linköping";"Östergötlands län";"Nykihl";"";"socken";"1952 - Nykils landskommun uppgick i Södra Valkebo landskommun (Wikipedia)";"Östergötland";"parish";"medeltida
1736 utbröts delar av socknen till den då nybildade Ulrika socken (Wikipedia)";"Nykil--Östergötland";"6454500";"58.2307351231888";"58.3233708747234";"58.1203922844996";"15.4047029545073";"15.5746515117672";"529006";"15.4938690729701";"1481711";"6456387";"529851";"6453526";"12346";"11308";"15.4861360002441";"58.2202579959309"
