"id";"district";"alt_names";"comments";"province";"typeEng";"TYPenATIVE";"Latitude";"Longitude";"precision";"xmax";"xmin";"ymax";"ymin"
"16903";"Bräcke";\N;\N;"Jämtland";"parish";"socken";"62,71522";"15,54247";"21634";"15,96508";"15,20809";"62,86261";"62,59977"
"16904";"Fors";\N;"En liten snutt av sockenen omftattande Forsstrand ligger i Medelpad.";"Jämtland";"parish";"socken";"62,98158";"16,65509";"20969";"16,99902";"16,39551";"63,13395";"62,80806"
"16905";"Frostviken";\N;"Frostvikens socken bildades 1842 genom en utbrytning ur Föllinge socken. Före 1746 ingick området i Ströms socken. Den 4 december 1863 överfördes Granön och Rotnäset till Tåsjö socken i Västernorrlands län (Wikipedia)";"Jämtland";"parish";"socken";"64,66308";"14,50597";"51535";"15,51695";"13,65423";"65,11892";"64,27682"
"16906";"Frösö";"Frösön, Hornsberg";"1898 inrättade municipalsamhället Hornsbergs villastad (namnet förkortades till endast Hornsberg 1935). Frösö köping och Hornsberg räknas här som en del av Frösö socken.";"Jämtland";"parish";"socken";"63,17276";"14,51758";"13894";"14,67493";"14,27064";"63,23149";"63,0822"
"16907";"Föllinge";"Fölinge";"1746 överfördes området Frostviken från Ströms socken. 1786 överfördes området Laxsjö från Hammerdals socken, 1842 utbröts Frostviken församling, 1846 Hotagens församling och 3 mars 1887 Laxsjö församling (Wikipedia). Här räknas Frostviken, Laxsjö och Hotagen som en egna socknar. ";"Jämtland";"parish";"socken";"63,7176";"14,50323";"29619";"14,94795";"13,93274";"63,88852";"63,53754"
"16908";"Gåxsjö";\N;"Gåxsjö socken bildades 1893 genom utbrytning ur Hammerdals socken, och Gåxsjö församling och Gåxsjö landskommun bildades (Wikipedia).";"Jämtland";"parish";"socken";"63,72228";"15,06013";"18816";"15,25651";"14,85792";"63,87524";"63,55385"
"16909";"Hackås";"Gillhov";"1860 utbröts Gillhovs församling som sedan återgick 1926 (Wikipedia). Här räknas Gillhov som en del av Hackås socken.";"Jämtland";"parish";"socken";"62,8627";"14,6258";"33034";"14,91674";"14,44824";"63,02144";"62,58979"
"16910";"Hallen";\N;\N;"Jämtland";"parish";"socken";"63,16538";"13,91957";"27151";"14,3005";"13,41248";"63,28726";"63,05649"
"16911";"Hammerdal";\N;"1781 utbröts Borgvattnets socken och 1786 överfördes området Laxsjö till Föllinge socken (Wikipedia).";"Jämtland";"parish";"socken";"63,58491";"15,46439";"27102";"15,99929";"15,01937";"63,80066";"63,34679"
"16912";"Haverö";"Hafverö";"Enligt beslut den 9 juli 1689[3] var Turingenbyarna, Turingen, Heden, Kroknäs och Länstersjön del av Haverö kyrkosocken och församling men förda i jordeboken under Rätans socken i Jämtlands län. 1891 överfördes delen som låg i Jämtlands län till Västernorrlands län (Wikipdedia). Större delen av socknen ligger i Medelpad.";"Jämtland";"parish";"socken";"62,50998";"14,96128";"26294";"15,61316";"14,78035";"62,6008";"62,24998"
"16913";"Hotagen";\N;"Hotagens församling och Hotagens landskommun bildades genom utbrytningar ur Föllinge församling 1846 respektive Föllinge landskommun 1901 (Wikipedia).";"Jämtland";"parish";"socken";"64,07539";"14,36244";"37185";"14,97665";"13,71538";"64,39825";"63,79638"
"16914";"Håsjö";\N;\N;"Jämtland";"parish";"socken";"63,01872";"16,11182";"21437";"16,44426";"15,69315";"63,08962";"62,93118"
"16915";"Häggenås";\N;\N;"Jämtland";"parish";"socken";"63,45114";"15,00499";"22125";"15,39652";"14,7394";"63,59443";"63,33429"
"16916";"Hällesjö";"Rotakäl, Hellesjö";\N;"Jämtland";"parish";"socken";"62,84309";"16,12641";"26753";"16,49451";"15,74347";"63,02116";"62,69154"
"16917";"Kall";\N;\N;"Jämtland";"parish";"socken";"63,75231";"13,02381";"42490";"13,52899";"12,35458";"64,09538";"63,39702"
"16918";"Klövsjö";"Klöfsjö";"Klövsjö socken bildades på 1500-talet genom en utbrytning ur Bergs socken (Wikipedia).";"Jämtland";"parish";"socken";"62,57499";"14,14068";"20962";"14,43142";"13,83509";"62,72123";"62,39445"
"16919";"Kyrkås";\N;\N;"Jämtland";"parish";"socken";"63,21107";"14,87256";"17795";"15,20406";"14,7162";"63,2688";"63,14139"
"16920";"Laxsjö";\N;"Området ingick före 1786 i Hammerdals socken därefter i Föllinge socken (Wikipedia).";"Jämtland";"parish";"socken";"63,87889";"14,75793";"20459";"15,10659";"14,34222";"64,02701";"63,76424"
"16921";"Lit";"Lith";\N;"Jämtland";"parish";"socken";"63,33739";"14,96655";"35227";"15,55479";"14,49921";"63,58886";"63,13227"
"16922";"Lockne";\N;\N;"Jämtland";"parish";"socken";"62,99883";"14,83986";"48294";"15,23856";"14,62789";"63,15216";"62,60354"
"16923";"Marby";\N;\N;"Jämtland";"parish";"socken";"63,08861";"14,17123";"18731";"14,40619";"13,80195";"63,16346";"63,02916"
"16924";"Marieby";"";\N;"Jämtland";"parish";"socken";"63,09791";"14,69556";"20990";"14,77376";"14,61836";"63,14011";"63,06225"
"16925";"Mattmar";\N;\N;"Jämtland";"parish";"socken";"63,27039";"13,85443";"20385";"14,0878";"13,63258";"63,35651";"63,15348"
"16926";"Myssjö";"Mysjö";\N;"Jämtland";"parish";"socken";"62,87733";"14,17532";"19047";"14,46907";"13,82985";"63,00986";"62,78532"
"16927";"Mörsil";\N;\N;"Jämtland";"parish";"socken";"63,27511";"13,62097";"15593";"13,79648";"13,47281";"63,40394";"63,14382"
"16928";"Norderö";\N;\N;"Jämtland";"parish";"socken";"63,1631";"14,33548";"5745";"14,39733";"14,26565";"63,21206";"63,11827"
"16929";"Nyhem";\N;"Nyhems landskommun bildades år 1891 genom en utbrytning ur Revsunds landskommun. De kyrkliga frågorna hanterades då av Nyhems församling (Wikipedia).. Nyhem utbröts som jordebokssocken ur Revsund den 1 januari 1891 (Wikipedia).";"Jämtland";"parish";"socken";"62,91073";"15,6755";"16644";"15,88605";"15,41732";"63,04359";"62,77118"
"16930";"Näs";\N;\N;"Jämtland";"parish";"socken";"62,96934";"14,65348";"34096";"14,79613";"14,5332";"63,06305";"62,89158"
"16931";"Näskott";"Neskott";\N;"Jämtland";"parish";"socken";"63,35258";"14,27396";"45110";"14,41889";"13,53187";"63,74866";"63,2718"
"16932";"Offerdal";\N;\N;"Jämtland";"parish";"socken";"63,7137";"13,82299";"49681";"14,45147";"13,27658";"64,08912";"63,39135"
"16933";"Oviken";\N;"En bit av socknen innefattande Årådalen, Busjöfjället, Oldbergbodarna, Kroktjärnvallen ligger i Härjedalen";"Jämtland";"parish";"socken";"62,97509";"13,78199";"36502";"14,48242";"13,09455";"63,09832";"62,79831"
"16934";"Ragunda";\N;"1589 utbröts Stuguns socken (Wikipedia).";"Jämtland";"parish";"socken";"63,19809";"16,21109";"27887";"16,67577";"15,73924";"63,41784";"62,99361"
"16935";"Revsund";"Refsund, Räfsund";"1891 utbröts Nyhems socken efter att församlingen tidigare varit kapellag från 1851.";"Jämtland";"parish";"socken";"62,8596";"15,22717";"18247";"15,57944";"14,94773";"62,9823";"62,7295"
"16936";"Rätan";\N;"Rätans socken bildades på 1530-talet genom en utbrytning ur Bergs socken (Wikipedia). 1891 överfördes Turingenbyarna, Hede, Kroknäs och Lönstersjön från Rätans socken i Jämtlands län till Haverö socken i Västernorrlands län. Det överförda området tillhörde dock fortsatt landskapet Jämtland (Wikipedia).";"Jämtland";"parish";"socken";"62,44188";"14,53165";"20988";"14,84927";"14,16208";"62,60967";"62,28093"
"16937";"Rödön";\N;\N;"Jämtland";"parish";"socken";"63,28445";"14,38278";"33626";"14,58556";"14,1787";"63,37991";"63,21575"
"16938";"Ström";\N;"Området Frostviken överfördes 1746 till Föllinge socken. Under 1700-talet överfördes byarna Henningskälen och Öjarn från Hammerdals socken.[3] 1808 utbröts Alanäs socken. Den sydostligaste delen av socknen har överförts från Ramsele socken i Ångermanland: 1840 Stamsele och Täxan, 1883 Björkhöjden, 1891 Sporrsjönäs, Stamåsen, Storhöjden och en kronomark. 1891 överfördes Trångåsen från Fjällsjö socken i Ångermanland (Wikipedia). En mindre del av socknen inefattande stamsele ligger i Ångermanland";"Jämtland";"parish";"socken";"64,05205";"15,34033";"61154";"15,99315";"14,77475";"64,59622";"63,65771"
"16939";"Stugun";"Stugu";"Stuguns socken bildades 1589 genom en utbrytning ur Ragunda socken (Wikipedia).";"Jämtland";"parish";"socken";"63,19462";"15,61993";"23804";"16,03157";"15,21913";"63,38284";"63,04151"
"16940";"Sundsjö";\N;\N;"Jämtland";"parish";"socken";"63,0266";"15,30814";"19508";"15,69315";"15,00849";"63,14825";"62,9071"
"16941";"Sunne";\N;\N;"Jämtland";"parish";"socken";"63,08954";"14,48143";"11682";"14,6293";"14,37883";"63,18486";"63,00874"
"25113";"Tåsjö";\N;"Större delen av socknen ligger i Ångermanland.";"Jämtland";"parish";"socken";"64,27295";"15,87127";"36546";"16,4098";"15,29948";"64,53344";"64,02139"
"16942";"Undersåker";\N;\N;"Jämtland";"parish";"socken";"63,14212";"12,86359";"48048";"13,57908";"12,02888";"63,43563";"62,90269"
"16943";"Åre";\N;\N;"Jämtland";"parish";"socken";"63,41576";"12,54533";"37235";"13,28907";"11,97455";"63,73184";"63,16405"
"16944";"Ås";"Åhs";\N;"Jämtland";"parish";"socken";"63,26575";"14,62133";"7882";"14,75043";"14,49681";"63,32464";"63,20835"
"16945";"Åsarne";\N;"Åsarne församling bildades 1764 genom en utbrytning ur Bergs församling (Wikipedia). 1952 utökades sockenområdet med 411,23 kvadrakiloter (varav land 394,93) från Ovikens socken, Bergs socken, Myssjö socken och Vemdalens socken (Wikipedia). Delar av socknen ligger i Härjedalen.";"Jämtland";"parish";"socken";"62,77453";"13,67906";"48612";"14,56476";"14,14504";"62,74827";"62,57196"
"16946";"Östersund";\N;"Östersund fick sina stadsprivilegier den 23 oktober 1786 (Wikipedia)";"Jämtland";"town/borough";"stad";"63,18181";"14,68369";"6125";"14,78922";"14,59885";"63,22577";"63,13595"
"24708";"";\N;\N;"Lule lappmark";"";"";\N;\N;\N;\N;\N;\N;\N
"16947";"Gällivare";"Gellivare";"Gällivare socken bildades 11 oktober 1742 genom en utbrytning ur Jokkmokks socken (Wikipedia).";"Lule lappmark";"parish";"socken";"67,28781";"20,11498";"159743";"22,1984";"16,73217";"68,11878";"66,27922"
"16948";"Jokkmokk";"Jockmock, Kvikkjokk, Quickjock";"Jokkmokks socken bröts 1607 ut ur Luleå socken. 1696 utbröts Kvikkjokks församling som 1923 införlivades igen, 11 oktober 1742 utbröts Gällivare socken. Kvikkjokk räknas här som en del av Jokkmokk socken.";"Lule lappmark";"parish";"socken";"66,89429";"18,68517";"140513";"21,27424";"16,08981";"67,90555";"65,90901"
"24709";"";\N;\N;"Lycksele lappmark";"";"";\N;\N;\N;\N;\N;\N;\N
"16949";"Lycksele";\N;"1648 utbröts Åsele socken, 1674 Sorsele socken, 1822 Stensele socken med Tärna församling och 1888 Örträsks socken (Wikipedia). Här räknas Lycksele köping/stad som en del av Lycksele socken.";"Lycksele lappmark";"parish";"socken";"64,69756";"18,4235";"62002";"19,31118";"17,50501";"65,2425";"64,20891"
"16950";"Malå";\N;"Malå socken bildades 1862 genom en utbrytning ur Arvidsjaurs socken (i Pite lappmark) (Wikipedia).";"Lycksele lappmark";"parish";"socken";"65,23673";"18,7274";"38560";"19,39203";"18,1669";"65,52549";"64,98415"
"16951";"Sorsele";\N;"Sorsele socken bildades 1673 ur Lycksele socken under namnet Illesnöhle socken som namnändrades till det nuvarande 1701 (Wikipedia).";"Lycksele lappmark";"parish";"socken";"65,72102";"16,75152";"96102";"18,29625";"14,95113";"66,34524";"65,04358"
"16952";"Stensele";\N;"Stensele församling bildades 1815 som kapellförsamling i Lycksele församling, och blev 1822 en självständig församling och Stensele socken bildades, dit även Tärna kapellförsamling kom att höra (Wikipedia). Tärna räknas här som en egen socken.";"Lycksele lappmark";"parish";"socken";"65,09371";"17,10514";"83556";"17,95688";"15,70509";"65,69243";"64,73265"
"16953";"Tärna";\N;"Tärna församling bildades 1780 som en kapellförsamling till Lycksele församling för att från 3 oktober 1822 vara kapellförsamling till Stensele församling. 1 maj 1903 (enligt beslut den 12 september 1902) blev kapellförsamlingen ett eget pastorat och egen jordebokssocken, utbruten från Stensele socken (Wikipedia).";"Lycksele lappmark";"parish";"socken";"65,6956";"15,20619";"76305";"16,02544";"14,49876";"66,14961";"65,40064"
"16954";"Örträsk";"Öhrträsk";"Örträsks församling bildades som kapellförsamling i Lycksele församling 1848 och bröts ut som egen kyrksocken 1888. Den 1 januari 1895 (enligt beslut den 8 mars 1894) utbröts Örträsk till egen jordebokssocken (Wikipedia).";"Lycksele lappmark";"parish";"socken";"64,18972";"18,84616";"18426";"19,07175";"18,48248";"64,35166";"64,06119"
"24710";"";\N;\N;"Medelpad";"";"";\N;\N;\N;\N;\N;\N;\N
"16955";"Alnö";"Alnön";\N;"Medelpad";"parish";"socken";"62,39353";"17,5049";"12449";"17,65635";"17,35347";"62,49443";"62,3186"
"16956";"Attmar";\N;"En liten remsa av socknen ligger i Hälsingland";"Medelpad";"parish";"socken";"62,24114";"16,9451";"22050";"17,2378";"16,5222";"62,32806";"62,15555"
"16957";"Borgsjö";\N;\N;"Medelpad";"parish";"socken";"62,52103";"15,75047";"27457";"16,1134";"15,2451";"62,71275";"62,28796"
"16958";"Haverö";"Hafverö";"Haverö socken har medeltida ursprung. Enligt beslut den 9 juli 1689[3] var Turingenbyarna, Turingen, Heden, Kroknäs och Länstersjön del av Haverö kyrkosocken och församling men förda i jordeboken under Rätans socken i Jämtlands län. 1891 överfördes delen som låg i Jämtlands län till Västernorrlands län. En mider del av socknen ligger i Jämtland.";"Medelpad";"parish";"socken";"62,43632";"15,1669";"26294";"15,61399";"14,78059";"62,60025";"62,2491"
"16959";"Holm";\N;"Holms socken bildades senast omkring 1300 genom en utbrytning ut Lidens socken (Wikipedia).";"Medelpad";"parish";"socken";"62,66594";"16,57466";"16305";"16,81679";"16,36914";"62,80673";"62,55258"
"16960";"Hässjö";"Lögdö";"1637 utbröts Lögdö bruksförsamling som åter uppgick i Hässjö församling 1932 (Wikipedia). Här räknas Lögdö som en del av Hässjö socken. En litten snutt av socknen innefattande Åvikebruk ligger i Ångermanland.";"Medelpad";"parish";"socken";"62,53369";"17,58728";"14474";"17,74812";"17,37047";"62,6255";"62,47431"
"16961";"Indal";"Indahl";\N;"Medelpad";"parish";"socken";"62,59252";"17,0252";"14098";"17,27265";"16,75614";"62,70496";"62,5129"
"16962";"Liden";"Indals-Liden";"Mellan 1 januari 1886 (enligt beslut av 17 april 1885) och 1 januari 1936 var namnet Indals-Lidens socken (Wikipedia).";"Medelpad";"parish";"socken";"62,80106";"16,82019";"21755";"17,16503";"16,49212";"62,94648";"62,6059"
"16963";"Ljustorp";\N;\N;"Medelpad";"parish";"socken";"62,69921";"17,24207";"18424";"17,55047";"16,94702";"62,86155";"62,56248"
"16964";"Njurunda";"Galtström, Svartvik";"1680 utbröts Galtströms församling som 1868 återgick i denna församling. 1853 utbröts Svartviks församling som 1906 återgick i denna församling (Wikipedia). Galtström och Svartvik räknas är som en del av Njurunda socken. En liten remsa av socknen ligger i Hälsingland";"Medelpad";"parish";"socken";"62,23431";"17,45953";"17343";"17,76753";"17,16043";"62,35555";"62,1102"
"16965";"Selånger";\N;"Ur socknen utbröts 1624 Sundsvalls stad och Sundsvalls församling (Wikipedia).";"Medelpad";"parish";"socken";"62,4128";"17,09433";"12521";"17,29682";"16,86917";"62,45543";"62,35309"
"16966";"Skön";\N;\N;"Medelpad";"parish";"socken";"62,44424";"17,32567";"5081";"17,4059";"17,23017";"62,47269";"62,38866"
"16967";"Stöde";\N;\N;"Medelpad";"parish";"socken";"62,39374";"16,60415";"25491";"16,89828";"16,2509";"62,57448";"62,23291"
"16968";"Sundsvall";\N;"Sundsvall fick stadsprivilegier 1621 (Wikipedia). Staden bröts ut ur Selångers socken (Wikipedia).";"Medelpad";"town/borough";"stad";"62,38342";"17,31872";"5949";"17,39718";"17,214";"62,41815";"62,3432"
"16969";"Sättna";"Saettna";\N;"Medelpad";"parish";"socken";"62,49576";"16,97631";"13782";"17,22452";"16,74906";"62,56672";"62,44195"
"16970";"Timrå";\N;"Timrå köping räknas här som en del av socknen.";"Medelpad";"parish";"socken";"62,51171";"17,32118";"9235";"17,46156";"17,20136";"62,57519";"62,44464"
"16971";"Torp";\N;\N;"Medelpad";"parish";"socken";"62,46512";"16,21021";"27374";"16,56601";"15,87627";"62,71027";"62,23451"
"16972";"Tuna";\N;\N;"Medelpad";"parish";"socken";"62,33555";"17,00141";"20296";"17,29645";"16,64236";"62,41198";"62,2599"
"16973";"Tynderö";\N;\N;"Medelpad";"parish";"socken";"62,43603";"17,64044";"9031";"17,75995";"17,4936";"62,49508";"62,37959"
"25105";"Viksjö";\N;"Norra delen av socken ligger i Ångermanland. Landskapsgränser är ofta felritad på kartor se Westin. J. 1935 Ångermanlands gränser. Svensk geografisk årsbok..";"Medelpad";"parish";"socken";\N;\N;\N;\N;\N;\N;\N
"24711";"";\N;\N;"Norrbotten";"";"";\N;\N;\N;\N;\N;\N;\N
"16974";"Edefors";\N;"Edefors församling bildades som utbrytning ur Överluleå församling 1890,  och blev dessutom en egen jordebokssocken (Wikipedia).";"Norrbotten";"parish";"socken";"66,12161";"20,94068";"31453";"21,56726";"20,36212";"66,39282";"65,89353"
"16975";"Hietaniemi";\N;"Socknen bildades 1637 genom en utbrytning ur Övertorneå socken efter att varit kapellförsamling från 1617 (Wikipedia). Hietaniemi utbröts som jordebokssocken ur Övertorneå enligt beslut den 9 maj 1884 (Wikipedia)";"Norrbotten";"parish";"socken";"66,22858";"23,43851";"78905";"23,88223";"23,11179";"66,41816";"66,05251"
"16976";"Hortlax";\N;"Hortlax församling bildades 1918 genom en utbrytning ur Piteå landsförsamling (Wikipedia).";"Norrbotten";"parish";"socken";"65,18713";"21,43857";"25893";"21,90902";"20,88635";"65,34027";"65,05256"
"16977";"Junosuando";\N;"Junosuando församling bildades 1914 genom en utbrytning ur Pajala församling (Wikipedia).";"Norrbotten";"parish";"socken";"67,51796";"22,60637";"28630";"23,06322";"22,14224";"67,74591";"67,26471"
"16978";"Karl Gustav";"Karungi, Carl Gustaf";"Socknen bildades 1783 genom en utbrytning ur Nedertorneå socken, efter att från 1745 varit ett kapellag i Nedertorneå församling med namnet Karungi kapellag. Socknen omfattade före 5 september 1809 också områden öster om Torne älv i dagen Finland. Detta östra område fick sedan namnet Karungi socken (Wikipedia).";"Norrbotten";"parish";"socken";"66,03449";"23,72926";"18089";"24,06017";"23,33164";"66,167";"65,94888"
"16979";"Korpilombolo";\N;"Korpilombolo församling bildades 20 juni 1856 genom en utbrytning ur Övertorneå, Överkalix församlingar samt Pajala församling (byn Kirnujärvi i det nordostligaste hörnet av Korpilombolo församling). Korpilombolo utbröts som jordebokssocken ur Övertorneå mellan 1920 och 1930 (Wikipedia).";"Norrbotten";"parish";"socken";"66,85558";"22,86833";"32284";"23,41978";"22,1344";"67,07759";"66,65777"
"16980";"Luleå";"";"Luleå fick stadsprivilegier den 12 juli 1621 vid Nederluleå kyrka i Gammelstaden i Nederluleå socken men flyttades 1648-1649 till sin nuvarande plats.[3] Den 1 januari 1863 inrättades Luleå stad som stadskommun när 1862 års kommunalförordningar trädde i kraft (Wikipedia). Här räknas Nederluleå som en separat socken.";"Norrbotten";"town/borough";"stad";"65,55677";"22,22307";"14325";"22,42063";"22,03782";"65,64262";"65,46749"
"16981";"Nederkalix";"Kalix, Neder Calix";"1637 bildades Överkalix socken och 1644 ändrades namnet från Kalix socken till Nederkalix (Wikipedia). 1960 överfördes ön Malören (areal 0,21 km², varav allt land) till socknen från Nedertorneå socken (Wikipedia).";"Norrbotten";"parish";"socken";"65,80218";"23,30078";"43730";"23,62332";"22,80073";"66,16782";"65,62699"
"16982";"Nederluleå";"Neder-Luleå, Luleå";"Råneå socken utbröts den 25 mars 1642, och efter utbrytningen av Överluleå socken 1831 ändrades namnet ""Luleå socken"" först till ""Neder-Luleå socken"" och efter 1909 till ""Nederluleå socken"" (Wikipedia). Här räknas Luleå stad som ett separat distrikt från Nederluleå socken.";"Norrbotten";"parish";"socken";"65,53123";"21,99037";"43472";"22,86681";"21,33572";"65,89151";"65,14664"
"16983";"Nedertorneå";"Torneå, Haparanda";"Socknen bildades omkring 1340 som en utbrytning ur Luleå socken under namnet Torneå socken och omfattade då ett område på båda sidor Torne älv där den östra delen ligger i dagens Finland. 20 augusti 1482 utbröts det som omkring 1620 fick namnet Övertorneå socken samtidigt som denna socken fick nuvarande namn. 1621 fick socknens huvudort Torneå stadsprivilegier och området med en stadsförsamling bröts ut ur den delen som idag ligger i Finland. 1745 utbröts Karungi socken, från 1783 benämnd Karl Gustavs socken. 5 september 1809 reglerades gränsen mellan Sverige och Finland att gå vid Torne älv och socknen delades upp i två delar, en västlig del i Sverige och en östlig del i Finland (Wikipedia). 1960 överfördes Malören till Nederkalix socken (Wikipedia). Torneå stad och Haparanda räknas här som en del av Torneå socken.";"Norrbotten";"parish";"socken";"65,79143";"23,90052";"84843";"24,17741";"23,47296";"65,96953";"65,50716"
"16984";"Norrfjärden";\N;"Norrfjärdens församling bildades 1915 genom en utbrytning ur Piteå landsförsamling (Wikipedia).";"Norrbotten";"parish";"socken";"65,41613";"21,65928";"43104";"22,02039";"21,14328";"65,65807";"65,19425"
"16985";"Pajala";\N;"Socknen bildades 1725 genom en utbrytning ur Övertorneå socken och omfattade då också områden öster om Torne älv som 5 september 1809 överfördes till Finland. 1837 införlivades Kengis bruksförsamling. 1854 utbröts Muonionalusta församling. Kengis bruksförsmaling och Muonionalusta församling räknas här som en del av Pajala socken. ";"Norrbotten";"parish";"socken";"67,49658";"23,24397";"74330";"23,8887";"22,46745";"68,15521";"66,90716"
"16986";"Piteå";\N;"Omkring 1580 utbröts Arvidsjaurs socken. Ur Piteå socken utbröts 1686 Piteå stad och Piteå stadsförsamling. 1809 utbröts Älvsby kapellag (Wikipedia). Piteå stad räknas här som en del av Piteå socken.";"Norrbotten";"parish";"socken";"65,41435";"20,62797";"59769";"21,96891";"19,62873";"65,6276";"65,14998"
"16987";"Råneå";\N;"Socknen bildades 25 mars 1642 som en utbrytning ur Luleå socken (Wikipedia).";"Norrbotten";"parish";"socken";"65,9449";"22,30942";"86765";"22,87366";"21,27424";"66,43166";"65,59105"
"16988";"Tärendö";\N;"Tärendö församling bildades 1882 genom en utbrytning ur Pajala församling(Wikipedia). Tärendö utbröts som jordebokssocken ur Pajala mellan 1920 och 1930 (Wikipedia).";"Norrbotten";"parish";"socken";"67,17006";"22,38781";"38922";"23,07848";"21,84514";"67,5059";"66,91893"
"16989";"Töre";\N;"1909 utbröts Töre församling ur Nederkalix församling (Wikipedia)";"Norrbotten";"parish";"socken";"65,96613";"22,73697";"41918";"23,08907";"22,33751";"66,23896";"65,62699"
"16990";"Älvsby";"Älvsbyn, Elfsby, Älfsby, Elfsbyn";"Älvsby kapellag bildades i Piteå socken enligt beslut 1781 (Wikipedia). Älvsby utbröts som jordebokssocken ur Piteå 1907 (Wikipedia)";"Norrbotten";"parish";"socken";"65,74345";"20,65949";"33498";"21,35889";"20,10789";"66,0143";"65,50992"
"16991";"Överkalix";"Öfver-Kalix, Öfverkalix, Öfver Calix, Öfver Kalix";"Överkalix socken bildades som en utbrytning 1637 ur Kalix socken (Wikipedia).";"Norrbotten";"parish";"socken";"66,46554";"22,58464";"46639";"23,24347";"21,94463";"66,8429";"66,13581"
"16992";"Överluleå";"Boden, Sävast, Säfvast, Öfver-Luleå, Öfverluleå";"1831 bildades Överluleå socken som utbrytning ur Luleå socken (Wikipedia). 1890 utbröts Edefors församling och 1892 Edefors landskommun. 28 februari 1896 inrättades i landskommunen Bodens municipalsamhälle som 1919 utbröts och bildade Bodens stad (Wikipedia). Här räknas Boden och Sävast som en del av Överluleå socken";"Norrbotten";"parish";"socken";"65,84787";"21,48894";"33503";"22,11579";"20,76733";"66,02403";"65,66323"
"16993";"Övertorneå";"Särkilax";"Socknen bildades 20 augusti 1482 genom en utbrytning ur Torneå socken som Särkilax socken (Wikipedia). 1856 utbröts ett område för att bilda Korpilombolo socken tillsammans med delar av Överkalix och Pajala socknar (Wikipedia).";"Norrbotten";"parish";"socken";"66,64583";"23,50605";"38277";"23,9953239795677";"23,031732085293";"66,9737913751265";"66,3096341165879"
"24712";"";\N;\N;"Närke";"";"";\N;\N;\N;\N;\N;\N;\N
"16994";"Asker";\N;"1865 överfördes till socknen Forsbro från Västra Vingåkers socken i Södermanlands län (Wikipedia). Härad: Asker";"Närke";"parish";"socken";"59,07303";"15,52536";"14474";"15,68674";"15,36164";"59,18549";"58,95656"
"16995";"Askersund";\N;"1643 utbröts Askersunds stad och Askersunds stadsförsamling (Wikipedia). Härad: Sundbo. Askersunds stad räknas här som en del av socknen.";"Närke";"parish";"socken";"58,84932";"14,79791";"13424";"14,99091";"14,62745";"58,93997";"58,7361"
"16996";"Axberg";\N;"Härad: Örebro";"Närke";"parish";"socken";"59,39094";"15,24527";"8479";"15,36422";"15,13397";"59,4469";"59,33257"
"16997";"Bo";"Boo";"Bo socken bildades 1735 genom en utbrytning ur Svennevads socken. 1868 överfördes Kängstorp hit från Östergötlands län. 1 maj 1877 överfördes jordebokstillhörigheten av ett område (Regna skate) till Regna socken i Östergötlands län som redan tidigare hört till kyrkosocknen Regna, och där länstillhörigheten ändrades först 1 januari 1878. Regna (eller Svennevads) skate bestod av gårdarna Tyrisfall, Anderstorp, Djurslanda, Mörtsjö, Malma och Botten (Wikipedia). Härad: Sköllersta";"Närke";"parish";"socken";"58,90301";"15,46362";"11089";"15,59421";"15,32125";"58,99216";"58,80856"
"16998";"Edsberg";\N;"Härad: Edsberg";"Närke";"parish";"socken";"59,13505";"14,867";"7240";"14,94894";"14,76056";"59,18671";"59,07986"
"16999";"Ekeby";\N;"Härad: Sköllersta";"Närke";"parish";"socken";"59,14788";"15,27728";"8732";"15,358";"15,19868";"59,1889";"59,06963"
"25120";"Fellingsbro";\N;"Härad: Fellingsbro. Större delen av socknen ligger i Västmanland.";"Närke";"parish";"socken";"59,50759";"15,54699";"15956";"15,73144";"15,37206";"59,64071";"59,36831"
"17000";"Glanshammar";\N;"Härad: Glanshammar";"Närke";"parish";"socken";"59,34232";"15,41657";"7697";"15,53492";"15,30835";"59,40159";"59,28074"
"17001";"Gräve";"Gräfve";"Härad: Örebro";"Närke";"parish";"socken";"59,29554";"15,07162";"3973";"15,10901";"15,04167";"59,32731";"59,26056"
"17002";"Gällersta";"Gellersta";"Härad: Sköllersta";"Närke";"parish";"socken";"59,20494";"15,2549";"6291";"15,35623";"15,17675";"59,2361";"59,17191"
"17003";"Götlunda";"Göthlunda";"Härad: Glanshammar";"Närke";"parish";"socken";"59,32125";"15,72927";"11007";"15,86179";"15,59766";"59,40992";"59,22358"
"17004";"Hackvad";\N;"Härad: Grimsten";"Närke";"parish";"socken";"59,11726";"14,9243";"4509";"14,97957";"14,87395";"59,15209";"59,08385"
"17005";"Hallsberg";"Halsberg";"Halsbergs köping räknas här som en del av Halsbergs socken. Härad: Kumla";"Närke";"parish";"socken";"59,03508";"15,16615";"10260";"15,28782";"15,01366";"59,09132";"58,95608"
"17006";"Hammar";\N;"1937 införlivades den del av Västra Ny socken som låg i Örebro län, Stora Rökneö. 1954 införlivades Zinkgruveområdet och 1985 Kristinebergsområdet från Godegårds socken i Östergötland (Wikipedia). Härad: Sundbo. En mindre del av socknen innefattande Kritinebergs gruvområde ligger i Östergötland. ";"Närke";"parish";"socken";"58,76276";"14,98253";"16852";"15,13848";"14,68919";"58,90598";"58,64617"
